Kod;Nazwa;Bezrobocie;Wynagrodzenia;Ludnosckm2;Cenam2;Firmy1000os
201000;Powiat bolesławiecki;3,1;6 181,60;67,5;4 778;7,2
202000;Powiat dzierżoniowski;5,2;5 723,65;200,3;3 237;5,5
203000;Powiat głogowski;6,4;5 856,76;193,3;4 660;5,9
204000;Powiat górowski;13,8;5 423,11;44,3;2 474;4,6
205000;Powiat jaworski;10,2;6 142,84;81,9;3 884;5,2
206000;Powiat karkonoski;8,5;5 627,61;97,3;9 119;5,3
207000;Powiat kamiennogórski;6,1;5 550,65;103,1;2 896;5,3
208000;Powiat kłodzki;11,8;5 670,31;90,5;4 399;5,2
209000;Powiat legnicki;8,1;6 116,35;74;3 903;4,1
210000;Powiat lubański;7,1;5 516,56;121,1;6 406;5,5
211000;Powiat lubiński;3,9;11 361,51;145,3;5 226;6,3
212000;Powiat lwówecki;8,7;5 580,03;60,8;2 404;4,9
213000;Powiat milicki;6,3;5 313,76;50,1;4 679;6
214000;Powiat oleśnicki;6;5 762,83;101,5;5 141;5,7
215000;Powiat oławski;4,2;6 030,47;147,5;5 812;6,7
216000;Powiat polkowicki;4,4;6 861,21;78,6;3 638;6,5
217000;Powiat strzeliński;10,4;6 320,71;67,5;4 580;5,4
218000;Powiat średzki;4,7;6 315,50;83,1;5 238;5,4
219000;Powiat świdnicki;5,6;6 059,31;204;4 504;6,8
220000;Powiat trzebnicki;4,8;5 852,88;85,2;5 513;5,8
221000;Powiat wałbrzyski;11,7;5 431,27;123,5;2 875;3,9
222000;Powiat wołowski;11,2;7 909,26;67,8;4 244;5,9
223000;Powiat wrocławski;1,4;7 161,33;163,5;6 028;5,9
224000;Powiat ząbkowicki;9,5;5 615,48;76,2;3 169;5,5
225000;Powiat zgorzelecki;5,1;5 980,91;102,4;4 253;5,5
226000;Powiat złotoryjski;13,7;6 235,18;71,1;3 408;4,8
261000;Powiat m. Jelenia Góra;3,6;6 282,14;693,4;5 151;8
262000;Powiat m. Legnica;5,1;6 068,54;1 652,90;4 774;9,8
